Radius,AveragePower
0.000000000000000000e+00,3.531396485218303906e+13
1.000000000000000000e+00,3.081238564038399658e+11
2.000000000000000000e+00,1.227321807752299957e+11
3.000000000000000000e+00,4.466898366543800354e+10
4.000000000000000000e+00,1.882192255711333847e+10
5.000000000000000000e+00,8.410729360223749161e+09
6.000000000000000000e+00,4.447859796668193817e+09
7.000000000000000000e+00,2.500209153374270916e+09
8.000000000000000000e+00,1.532428487466596365e+09
9.000000000000000000e+00,1.012444494102030993e+09
1.000000000000000000e+01,7.037944477851380110e+08
1.100000000000000000e+01,5.602297140184519291e+08
1.200000000000000000e+01,3.901127862808184624e+08
1.300000000000000000e+01,2.650225740481777191e+08
1.400000000000000000e+01,2.166043086348863840e+08
1.500000000000000000e+01,1.611204540277018249e+08
1.600000000000000000e+01,1.319871685236816257e+08
1.700000000000000000e+01,1.015973337334529459e+08
1.800000000000000000e+01,8.408000652070882916e+07
1.900000000000000000e+01,7.179681362147721648e+07
2.000000000000000000e+01,5.965131460127304494e+07
2.100000000000000000e+01,4.728094708620876819e+07
2.200000000000000000e+01,4.625065863672807813e+07
2.300000000000000000e+01,4.040402142161091417e+07
2.400000000000000000e+01,3.583906936325656623e+07
2.500000000000000000e+01,2.926607239176497981e+07
2.600000000000000000e+01,2.370128184163401276e+07
2.700000000000000000e+01,2.190561618009288236e+07
2.800000000000000000e+01,1.919726113221144304e+07
2.900000000000000000e+01,1.571334425774292089e+07
3.000000000000000000e+01,1.462115809254802763e+07
3.100000000000000000e+01,1.291196934693364240e+07
3.200000000000000000e+01,1.205716432014495321e+07
3.300000000000000000e+01,1.114035714158786461e+07
3.400000000000000000e+01,9.417007164808299392e+06
3.500000000000000000e+01,9.552746645706495270e+06
3.600000000000000000e+01,8.256863921631582081e+06
3.700000000000000000e+01,7.740057534737128764e+06
3.800000000000000000e+01,6.533117816472235136e+06
3.900000000000000000e+01,6.284116257731497288e+06
4.000000000000000000e+01,6.024155414502569474e+06
4.100000000000000000e+01,5.136922871199782938e+06
4.200000000000000000e+01,4.983242322864929214e+06
4.300000000000000000e+01,4.430112297681988217e+06
4.400000000000000000e+01,4.365941658707145602e+06
4.500000000000000000e+01,4.412795089395897463e+06
4.600000000000000000e+01,4.135235977891661692e+06
4.700000000000000000e+01,4.100467119552007876e+06
4.800000000000000000e+01,3.922347581392829306e+06
4.900000000000000000e+01,3.591696602907251567e+06
5.000000000000000000e+01,3.004779455899098422e+06
5.100000000000000000e+01,2.877212664701641537e+06
5.200000000000000000e+01,2.747617254136286676e+06
5.300000000000000000e+01,2.408485807721365709e+06
5.400000000000000000e+01,2.433252242389606312e+06
5.500000000000000000e+01,2.082380199670135742e+06
5.600000000000000000e+01,2.169530288135959767e+06
5.700000000000000000e+01,2.002844001053072745e+06
5.800000000000000000e+01,1.915069984329668107e+06
5.900000000000000000e+01,1.821970759888434783e+06
6.000000000000000000e+01,1.691084867634376511e+06
6.100000000000000000e+01,1.655162084924818715e+06
6.200000000000000000e+01,1.587884234174285550e+06
6.300000000000000000e+01,1.516328833344473271e+06
6.400000000000000000e+01,1.886638515248863026e+06
6.500000000000000000e+01,1.352678865189336240e+06
6.600000000000000000e+01,1.387700622717670398e+06
6.700000000000000000e+01,1.309344623147905804e+06
6.800000000000000000e+01,1.198991598611091031e+06
6.900000000000000000e+01,1.261678431556699332e+06
7.000000000000000000e+01,1.155543352717331843e+06
7.100000000000000000e+01,1.163484134362263139e+06
7.200000000000000000e+01,1.029546892585671041e+06
7.300000000000000000e+01,1.033442154942643247e+06
7.400000000000000000e+01,1.002983725230257609e+06
7.500000000000000000e+01,9.479079525584714720e+05
7.600000000000000000e+01,9.239123449916124810e+05
7.700000000000000000e+01,8.771531952781898435e+05
7.800000000000000000e+01,8.881855821581068449e+05
7.900000000000000000e+01,8.412513894569082186e+05
8.000000000000000000e+01,7.908972355695823207e+05
8.100000000000000000e+01,8.038893651566974586e+05
8.200000000000000000e+01,7.395183313511376036e+05
8.300000000000000000e+01,7.650299053423687583e+05
8.400000000000000000e+01,7.130690454095698660e+05
8.500000000000000000e+01,6.885815225521129323e+05
8.600000000000000000e+01,6.816063509512791643e+05
8.700000000000000000e+01,6.614810975554056931e+05
8.800000000000000000e+01,6.819340656626634300e+05
8.900000000000000000e+01,5.917849181167945499e+05
9.000000000000000000e+01,6.605972766316102352e+05
9.100000000000000000e+01,5.972760146981936414e+05
9.200000000000000000e+01,5.977015056696537649e+05
9.300000000000000000e+01,5.951884075356794056e+05
9.400000000000000000e+01,6.146380258449043613e+05
9.500000000000000000e+01,6.836958076718247030e+05
9.600000000000000000e+01,6.679082174562383443e+05
9.700000000000000000e+01,6.073996025808387203e+05
9.800000000000000000e+01,5.866842495161056286e+05
9.900000000000000000e+01,5.113841837311717682e+05
1.000000000000000000e+02,5.220011655561915250e+05
1.010000000000000000e+02,4.701767377295506885e+05
1.020000000000000000e+02,4.775368859821569058e+05
1.030000000000000000e+02,4.860030255438075983e+05
1.040000000000000000e+02,4.492950336107642506e+05
1.050000000000000000e+02,4.664724684739661752e+05
1.060000000000000000e+02,4.323082709174740012e+05
1.070000000000000000e+02,4.429882573487738846e+05
1.080000000000000000e+02,4.428449748596910504e+05
1.090000000000000000e+02,4.282406366163248313e+05
1.100000000000000000e+02,4.278451022038438241e+05
1.110000000000000000e+02,4.058635357625065371e+05
1.120000000000000000e+02,4.174495596671643434e+05
1.130000000000000000e+02,4.048694691106318496e+05
1.140000000000000000e+02,3.842829335071470123e+05
1.150000000000000000e+02,3.967574979958681506e+05
1.160000000000000000e+02,3.941438919991943985e+05
1.170000000000000000e+02,3.830088542092487914e+05
1.180000000000000000e+02,3.745352451066366630e+05
1.190000000000000000e+02,3.707235785361651215e+05
1.200000000000000000e+02,3.705707095025080489e+05
1.210000000000000000e+02,3.781074199729206157e+05
1.220000000000000000e+02,3.622785041003794177e+05
1.230000000000000000e+02,3.374717629445288330e+05
1.240000000000000000e+02,3.667492580152970622e+05
1.250000000000000000e+02,3.419996077193493256e+05
1.260000000000000000e+02,3.640432658206784981e+05
1.270000000000000000e+02,3.379370558172361925e+05
1.280000000000000000e+02,2.297016329870086047e+05
